,Review,Liked,Review Letter Counter,Not Liked,Country,Profit,Category,Gender,Payments_methods,Year
574,Our server was super nice and checked on us many times.,1,55,0,Germany,3884,Medium,Male,credit card,2023
575,"The pizza tasted old, super chewy in not a good way.",0,52,1,Japan,6689,High,Male,mobile payment,2024
576,I swung in to give them a try but was deeply disappointed.,0,58,1,Brazil,7031,High,Female,mobile payment,2022
577,Service was good and the company was better!,1,44,0,South Africa,4692,Medium,Female,mobile payment,2024
578,The staff are also very friendly and efficient.,1,47,0,Brazil,2854,Medium,Female,cash,2021
579,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1,93,0,Brazil,2542,Medium,Male,cash,2020
580,Boy was that sucker dry!!.,0,26,1,Japan,7736,High,Female,credit card,2020
581,Over rated.,0,11,1,Germany,1516,Low,Female,cash,2022
582,"If you look for authentic Thai food, go else where.",0,51,1,Australia,4381,Medium,Male,credit card,2023
583,Their steaks are 100% recommended!,1,34,0,Australia,4028,Medium,Female,mobile payment,2020
584,After I pulled up my car I waited for another 15 minutes before being acknowledged.,0,83,1,Germany,3148,Medium,Female,cash,2024
585,Great food and great service in a clean and friendly setting.,1,61,0,Japan,5665,High,Male,cash,2023
586,"All in all, I can assure you I'll be back.",1,42,0,China,3592,Medium,Female,mobile payment,2020
587,I hate those things as much as cheap quality black olives.,0,58,1,USA,3477,Medium,Female,credit card,2022
588,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1,126,0,Australia,1531,Low,Female,credit card,2022
589,The kids play area is NASTY!,0,28,1,Germany,9181,High,Male,credit card,2021
590,Great place fo take out or eat in.,1,34,0,Canada,6437,High,Female,mobile payment,2023
591,The waitress was friendly and happy to accomodate for vegan/veggie options.,1,75,0,Japan,7257,High,Female,mobile payment,2023
592,OMG I felt like I had never eaten Thai food until this dish.,1,60,0,France,3860,Medium,Female,credit card,2020
593,"It was extremely ""crumby"" and pretty tasteless.",0,47,1,Australia,2705,Medium,Female,mobile payment,2023
594,It was a pale color instead of nice and char and has NO flavor.,0,63,1,France,1172,Low,Female,cash,2024
595,The croutons also taste homemade which is an extra plus.,1,56,0,Australia,3959,Medium,Female,cash,2023
596,I got home to see the driest damn wings ever!,0,45,1,Brazil,3631,Medium,Female,cash,2021
597,It'll be a regular stop on my trips to Phoenix!,1,47,0,France,4703,Medium,Male,cash,2021
598,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.,1,98,0,Germany,1790,Low,Male,cash,2023
599,Not good for the money.,0,23,1,China,2323,Medium,Male,cash,2023
600,I miss it and wish they had one in Philadelphia!,1,48,0,Japan,3238,Medium,Male,credit card,2023
601,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0,129,1,Brazil,1744,Low,Male,cash,2020
602,They also have the best cheese crisp in town.,1,45,0,India,6321,High,Female,cash,2022
603,"Good value, great food, great service.",1,38,0,China,4518,Medium,Female,credit card,2023
604,Couldn't ask for a more satisfying meal.,1,40,0,China,9237,High,Female,cash,2022
605,The food is good.,1,17,0,France,3080,Medium,Male,credit card,2023
606,It was awesome.,1,15,0,China,8428,High,Male,mobile payment,2021
607,I just wanted to leave.,0,23,1,Canada,1384,Low,Female,mobile payment,2020
608,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1,90,0,Brazil,7905,High,Female,credit card,2024
609,I will not be eating there again.,0,33,1,USA,1678,Low,Male,mobile payment,2022
610,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0,120,1,India,4170,Medium,Female,credit card,2020
611,I checked out this place a couple years ago and was not impressed.,0,66,1,India,3747,Medium,Male,credit card,2022
612,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0,90,1,USA,4384,Medium,Female,mobile payment,2024
613,"Sorry, I will not be getting food from here anytime soon :(",0,59,1,Germany,2233,Medium,Male,mobile payment,2022
614,An absolute must visit!,1,23,0,Australia,4931,Medium,Male,mobile payment,2020
615,The cow tongue and cheek tacos are amazing.,1,43,0,India,4166,Medium,Female,mobile payment,2023
616,My friend did not like his Bloody Mary.,0,39,1,USA,5035,High,Female,cash,2021
617,"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0,78,1,Japan,4737,Medium,Female,cash,2022
618,They really want to make your experience a good one.,1,52,0,South Africa,8454,High,Male,cash,2020
619,I will not return.,0,18,1,South Africa,1667,Low,Female,credit card,2020
620,I had the chicken Pho and it tasted very bland.,0,47,1,South Africa,7306,High,Female,credit card,2020
621,Very disappointing!!!,0,21,1,Australia,1922,Low,Male,mobile payment,2024
622,The grilled chicken was so tender and yellow from the saffron seasoning.,1,72,0,France,7537,High,Male,credit card,2023
623,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0,147,1,Japan,1613,Low,Female,cash,2022
624,Pretty awesome place.,1,21,0,South Africa,5384,High,Female,credit card,2022
625,Ambience is perfect.,1,20,0,India,7327,High,Male,mobile payment,2022
626,Best of luck to the rude and non-customer service focused new management.,0,73,1,Japan,5910,High,Female,credit card,2024
627,Any grandmother can make a roasted chicken better than this one.,0,64,1,India,6015,High,Female,mobile payment,2024
628,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0,119,1,Canada,2044,Medium,Male,credit card,2023
629,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1,114,0,Canada,4087,Medium,Female,cash,2024
630,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1,101,0,China,5886,High,Female,cash,2020
631,The roast beef sandwich tasted really good!,1,43,0,USA,1876,Low,Male,cash,2024
632,"Same evening, him and I are both drastically sick.",0,50,1,USA,9925,High,Female,mobile payment,2023
633,High-quality chicken on the chicken Caesar salad.,1,49,0,Australia,9167,High,Male,mobile payment,2023
634,Ordered burger rare came in we'll done.,0,39,1,France,9936,High,Female,mobile payment,2022
635,We were promptly greeted and seated.,1,36,0,Australia,2357,Medium,Female,cash,2022
636,Tried to go here for lunch and it was a madhouse.,0,49,1,France,7214,High,Female,credit card,2024
637,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1,131,0,USA,8346,High,Male,mobile payment,2021
638,"After waiting an hour and being seated, I was not in the greatest of moods.",0,75,1,India,7868,High,Female,credit card,2024
639,This is a good joint.,1,21,0,Canada,6595,High,Male,mobile payment,2022
640,The Macarons here are insanely good.,1,36,0,South Africa,9614,High,Female,cash,2020
641,I'm not eating here!,0,20,1,South Africa,2827,Medium,Female,mobile payment,2021
642,"Our waiter was very attentive, friendly, and informative.",1,57,0,France,8886,High,Male,cash,2023
643,Maybe if they weren't cold they would have been somewhat edible.,0,64,1,USA,9129,High,Female,credit card,2022
644,This place has a lot of promise but fails to deliver.,0,53,1,India,8291,High,Female,cash,2021
645,Very bad Experience!,0,20,1,Australia,1661,Low,Male,cash,2024
646,What a mistake.,0,15,1,China,4540,Medium,Male,credit card,2020
647,Food was average at best.,0,25,1,China,9310,High,Male,cash,2023
648,Great food.,1,11,0,India,7360,High,Male,cash,2021
649,We won't be going back anytime soon!,0,36,1,USA,5753,High,Male,mobile payment,2023
650,Very Very Disappointed ordered the $35 Big Bay Plater.,0,54,1,Japan,1417,Low,Male,cash,2023
651,Great place to relax and have an awesome burger and beer.,1,57,0,France,5993,High,Female,cash,2023
652,It is PERFECT for a sit-down family meal or get together with a few friends.,1,76,0,France,1578,Low,Male,cash,2024
653,"Not much flavor to them, and very poorly constructed.",0,53,1,Brazil,9877,High,Female,cash,2021
654,The patio seating was very comfortable.,1,39,0,France,1287,Low,Female,cash,2022
655,The fried rice was dry as well.,0,31,1,Germany,5839,High,Female,cash,2023
656,Hands down my favorite Italian restaurant!,1,42,0,Canada,7702,High,Male,cash,2023
657,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1,81,0,India,4104,Medium,Male,credit card,2021
658,It was just not a fun experience.,1,33,0,South Africa,8193,High,Male,credit card,2024
659,The atmosphere was great with a lovely duo of violinists playing songs we requested.,1,84,0,China,4221,Medium,Male,mobile payment,2021
660,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!).",1,114,0,Australia,8532,High,Female,credit card,2021
661,"Very convenient, since we were staying at the MGM!",1,50,0,Canada,2326,Medium,Female,credit card,2020
662,The owners are super friendly and the staff is courteous.,1,57,0,Australia,3672,Medium,Male,credit card,2022
663,Both great!,1,11,0,China,7674,High,Male,credit card,2021
664,Eclectic selection.,1,19,0,India,2761,Medium,Male,credit card,2024
665,The sweet potato tots were good but the onion rings were perfection or as close as I have had.,1,94,0,USA,1369,Low,Female,mobile payment,2024
666,The staff was very attentive.,1,29,0,South Africa,7740,High,Female,mobile payment,2020
667,And the chef was generous with his time (even came around twice so we can take pictures with him).,1,98,0,Australia,6477,High,Male,mobile payment,2022
668,"The owner used to work at Nobu, so this place is really similar for half the price.",1,83,0,France,4055,Medium,Male,mobile payment,2023
669,Google mediocre and I imagine Smashburger will pop up.,0,54,1,France,3319,Medium,Male,mobile payment,2024
670,dont go here.,0,13,1,Australia,6491,High,Female,credit card,2024
671,I promise they won't disappoint.,1,32,0,Canada,6054,High,Female,mobile payment,2020
672,As a sushi lover avoid this place by all means.,0,47,1,China,8637,High,Female,cash,2021
673,What a great double cheeseburger!,1,33,0,South Africa,6376,High,Male,credit card,2021
674,Awesome service and food.,1,25,0,South Africa,1055,Low,Female,mobile payment,2021
675,A fantastic neighborhood gem !!!,1,32,0,China,8253,High,Female,cash,2023
676,I can't wait to go back.,1,24,0,Brazil,6064,High,Female,credit card,2020
677,The plantains were the worst I've ever tasted.,0,46,1,South Africa,9447,High,Male,credit card,2020
678,It's a great place and I highly recommend it.,1,45,0,France,9192,High,Female,mobile payment,2020
679,Service was slow and not attentive.,0,35,1,France,5596,High,Male,mobile payment,2022
680,"I gave it 5 stars then, and I'm giving it 5 stars now.",1,54,0,Brazil,9555,High,Male,credit card,2020
681,Your staff spends more time talking to themselves than me.,0,58,1,Australia,5793,High,Male,mobile payment,2020
682,Dessert: Panna Cotta was amazing.,1,33,0,Brazil,9670,High,Female,mobile payment,2024
683,"Very good food, great atmosphere.1",1,34,0,Germany,2452,Medium,Male,mobile payment,2020
684,Damn good steak.,1,16,0,Germany,9171,High,Male,mobile payment,2022
685,Total brunch fail.,0,18,1,China,7006,High,Male,cash,2023
686,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1,110,0,Canada,1285,Low,Female,mobile payment,2022
687,"The decor is nice, and the piano music soundtrack is pleasant.",1,62,0,Japan,9822,High,Female,cash,2024
688,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1,86,0,China,9302,High,Female,credit card,2020
689,"Good food , good service .",1,26,0,Canada,7188,High,Female,cash,2023
690,It was absolutely amazing.,1,26,0,India,5617,High,Female,credit card,2020
691,"I probably won't be back, to be honest.",0,39,1,South Africa,1581,Low,Male,mobile payment,2021
692,will definitely be back!,1,24,0,Japan,9626,High,Female,cash,2021
693,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1,83,0,Australia,1256,Low,Female,cash,2022
694,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1,114,0,France,6751,High,Female,credit card,2022
695,Went for lunch - service was slow.,0,34,1,India,5654,High,Male,credit card,2022
696,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0,122,1,Australia,4513,Medium,Female,credit card,2024
697,I was mortified.,0,16,1,France,1767,Low,Male,cash,2024
698,"Needless to say, we will never be back here again.",0,50,1,China,8463,High,Male,credit card,2024
699,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0,102,1,France,4544,Medium,Female,credit card,2020
700,"The chips that came out were dripping with grease, and mostly not edible.",0,73,1,Canada,9272,High,Female,cash,2020
701,I wasn't really impressed with Strip Steak.,0,43,1,France,9990,High,Male,credit card,2021
702,Have been going since 2007 and every meal has been awesome!!,1,60,0,Germany,6276,High,Female,mobile payment,2024
703,Our server was very nice and attentive as were the other serving staff.,1,71,0,China,5640,High,Male,credit card,2022
704,The cashier was friendly and even brought the food out to me.,1,61,0,USA,1854,Low,Male,mobile payment,2022
705,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0,107,1,South Africa,2447,Medium,Female,mobile payment,2021
706,The atmosphere here is fun.,1,27,0,Australia,4343,Medium,Male,mobile payment,2020
707,Would not recommend to others.,0,30,1,China,1275,Low,Female,credit card,2021
708,"Service is quick and even ""to go"" orders are just like we like it!",1,66,0,Brazil,3965,Medium,Male,credit card,2022
709,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0,88,1,India,5625,High,Female,credit card,2022
710,"That said, our mouths and bellies were still quite pleased.",1,59,0,Japan,8784,High,Male,mobile payment,2024
711,Not my thing.,0,13,1,Canada,4742,Medium,Male,credit card,2024
712,2 Thumbs Up!!,1,13,0,Canada,7514,High,Female,credit card,2022
713,If you are reading this please don't go there.,0,46,1,Japan,3463,Medium,Male,cash,2021
714,"I loved the grilled pizza, reminded me of legit Italian pizza.",1,62,0,South Africa,6260,High,Female,cash,2020
715,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1,118,0,Canada,4898,Medium,Male,cash,2022
716,They have a really nice atmosphere.,1,35,0,Australia,2251,Medium,Female,credit card,2020
717,Tonight I had the Elk Filet special...and it sucked.,0,52,1,Japan,3086,Medium,Female,credit card,2021
718,"After one bite, I was hooked.",1,29,0,Japan,7494,High,Female,credit card,2020
719,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0,124,1,USA,7839,High,Female,mobile payment,2024
720,"Cute, quaint, simple, honest.",1,29,0,USA,8267,High,Male,cash,2021
721,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1,108,0,India,7330,High,Male,cash,2022
722,"The food was great as always, compliments to the chef.",1,54,0,Australia,8233,High,Male,cash,2024
723,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1,93,0,Australia,3729,Medium,Female,credit card,2023
724,Awesome selection of beer.,1,26,0,China,4227,Medium,Female,credit card,2024
725,Great food and awesome service!,1,31,0,USA,9446,High,Male,cash,2022
726,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1,138,0,China,9058,High,Male,cash,2024
727,A FLY was in my apple juice.. A FLY!!!!!!!!,0,43,1,France,4687,Medium,Male,mobile payment,2024
728,The Han Nan Chicken was also very tasty.,1,40,0,USA,9686,High,Male,credit card,2022
729,"As for the service, I thought it was good.",1,42,0,China,6507,High,Female,cash,2020
730,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0,104,1,South Africa,7095,High,Female,cash,2023
731,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0,75,1,Japan,4665,Medium,Female,credit card,2022
732,Nicest Chinese restaurant I've been in a while.,1,47,0,France,1924,Low,Male,mobile payment,2022
733,"Overall, I like there food and the service.",1,43,0,Australia,9015,High,Male,mobile payment,2020
734,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1,107,0,Japan,1080,Low,Female,cash,2020
735,"Probably never coming back, and wouldn't recommend it.",0,54,1,Australia,9152,High,Female,credit card,2020
736,"Friend's pasta -- also bad, he barely touched it.",0,49,1,Brazil,2607,Medium,Female,credit card,2022
737,"Try them in the airport to experience some tasty food and speedy, friendly service.",1,83,0,Germany,8384,High,Female,cash,2021
738,I love the decor with the Chinese calligraphy wall paper.,1,57,0,USA,1179,Low,Female,credit card,2020
739,Never had anything to complain about here.,1,42,0,Japan,8486,High,Male,mobile payment,2022
740,The restaurant is very clean and has a family restaurant feel to it.,1,68,0,Canada,1992,Low,Male,cash,2021
741,It was way over fried.,0,22,1,Australia,6640,High,Male,cash,2020
742,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0,107,1,India,5527,High,Male,credit card,2022
743,"When I opened the sandwich, I was impressed, but not in a good way.",0,67,1,Canada,3829,Medium,Female,credit card,2021
744,Will not be back!,0,17,1,China,6992,High,Female,mobile payment,2020
745,There was a warm feeling with the service and I felt like their guest for a special treat.,1,90,0,Germany,5089,High,Female,credit card,2023
746,An extensive menu provides lots of options for breakfast.,1,57,0,China,4335,Medium,Male,credit card,2020
747,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1,104,0,South Africa,4610,Medium,Female,credit card,2024
748,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0,96,1,India,2846,Medium,Female,cash,2024
749,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1,76,0,USA,9692,High,Female,credit card,2022
750,"I got to enjoy the seafood salad, with a fabulous vinegrette.",1,61,0,Australia,5582,High,Male,cash,2022
751,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1,70,0,South Africa,1846,Low,Male,cash,2020
752,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1,66,0,Japan,7972,High,Female,mobile payment,2021
753,We were sat right on time and our server from the get go was FANTASTIC!,1,71,0,China,4352,Medium,Female,cash,2021
754,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0,85,1,USA,8284,High,Male,credit card,2024
755,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1,80,0,Japan,9020,High,Male,credit card,2024
756,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0,73,1,Australia,6625,High,Male,cash,2020
757,This is a GREAT place to eat!,1,29,0,France,4762,Medium,Female,cash,2023
758,The jalapeno bacon is soooo good.,1,33,0,USA,2876,Medium,Male,cash,2020
759,The service was poor and thats being nice.,0,42,1,China,6047,High,Male,mobile payment,2022
760,"Food was good, service was good, Prices were good.",1,50,0,France,1576,Low,Female,mobile payment,2022
761,The place was not clean and the food oh so stale!,0,49,1,Australia,9477,High,Male,mobile payment,2022
762,"The chicken dishes are OK, the beef is like shoe leather.",0,57,1,USA,9806,High,Male,credit card,2020
763,But the service was beyond bad.,0,31,1,Japan,7343,High,Female,credit card,2021
764,"I'm so happy to be here!!!""",1,27,0,Brazil,7871,High,Female,mobile payment,2023
765,Tasted like dirt.,0,17,1,Germany,9896,High,Female,credit card,2022
766,One of the few places in Phoenix that I would definately go back to again .,1,75,0,Japan,8851,High,Male,mobile payment,2021
767,The block was amazing.,1,22,0,France,1811,Low,Female,credit card,2021
768,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1,78,0,Germany,4259,Medium,Female,cash,2024
769,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1,69,0,China,6397,High,Female,mobile payment,2020
770,My sashimi was poor quality being soggy and tasteless.,0,54,1,USA,5254,High,Female,credit card,2020
771,Great time - family dinner on a Sunday night.,1,45,0,Brazil,9191,High,Female,credit card,2024
772,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0,76,1,Japan,6294,High,Female,cash,2020
773,"What did bother me, was the slow service.",0,41,1,India,3093,Medium,Female,cash,2020
774,The flair bartenders are absolutely amazing!,1,44,0,France,9999,High,Male,mobile payment,2020
775,Their frozen margaritas are WAY too sugary for my taste.,0,56,1,India,5458,High,Female,mobile payment,2023
776,These were so good we ordered them twice.,1,41,0,Australia,9855,High,Female,credit card,2020
777,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0,97,1,South Africa,5419,High,Male,mobile payment,2023
778,My girlfriend's veal was very bad.,0,34,1,Brazil,5763,High,Female,cash,2021
779,"Unfortunately, it was not good.",0,31,1,USA,1183,Low,Male,mobile payment,2024
780,I had a pretty satifying experience.,1,36,0,India,8753,High,Female,cash,2024
781,Join the club and get awesome offers via email.,1,47,0,Brazil,8325,High,Male,credit card,2022
782,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,84,0,USA,6115,High,Female,credit card,2021
783,Bland and flavorless is a good way of describing the barely tepid meat.,0,71,1,Japan,8474,High,Male,credit card,2024
784,"The chains, which I'm no fan of, beat this place easily.",0,56,1,USA,9376,High,Male,cash,2020
785,The nachos are a MUST HAVE!,1,27,0,Australia,8320,High,Female,mobile payment,2020
786,We will not be coming back.,0,27,1,South Africa,1929,Low,Female,mobile payment,2020
787,"I don't have very many words to say about this place, but it does everything pretty well.",1,89,0,France,7247,High,Male,mobile payment,2024
788,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,115,0,Germany,8851,High,Male,credit card,2023
789,"Great atmosphere, friendly and fast service.",1,44,0,France,7141,High,Male,cash,2020
790,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,87,0,South Africa,1228,Low,Female,cash,2024
791,Once your food arrives it's meh.,0,32,1,South Africa,4811,Medium,Male,mobile payment,2023
792,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,134,1,Brazil,6120,High,Female,credit card,2021
793,The classic Maine Lobster Roll was fantastic.,1,45,0,France,7663,High,Female,cash,2021
794,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,100,1,Australia,6707,High,Female,credit card,2021
795,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,146,0,France,4487,Medium,Male,mobile payment,2023
796,"The chips and salsa were really good, the salsa was very fresh.",1,63,0,China,5209,High,Male,mobile payment,2022
797,This place is great!!!!!!!!!!!!!!,1,33,0,USA,9701,High,Male,cash,2023
798,Mediocre food.,0,14,1,South Africa,7239,High,Male,mobile payment,2022
799,Once you get inside you'll be impressed with the place.,1,55,0,France,6641,High,Female,mobile payment,2020
800,I'm super pissd.,0,16,1,Australia,4051,Medium,Female,credit card,2021
801,And service was super friendly.,1,31,0,Germany,2250,Medium,Male,cash,2023
802,Why are these sad little vegetables so overcooked?,0,50,1,USA,8753,High,Male,cash,2021
803,This place was such a nice surprise!,1,36,0,Canada,7748,High,Male,cash,2020
804,They were golden-crispy and delicious.,1,38,0,USA,7453,High,Female,mobile payment,2023
805,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,132,1,Brazil,8482,High,Male,cash,2024
806,I could eat their bruschetta all day it is devine.,1,50,0,South Africa,7556,High,Female,mobile payment,2020
807,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,119,1,France,4395,Medium,Male,cash,2024
808,"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,67,0,France,9726,High,Male,mobile payment,2020
809,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,106,0,Brazil,6512,High,Male,credit card,2022
810,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,109,1,India,1958,Low,Female,mobile payment,2020
811,The service was terrible though.,0,32,1,Brazil,3509,Medium,Male,cash,2022
812,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,86,1,South Africa,4113,Medium,Female,mobile payment,2021
813,It was packed!!,0,15,1,Australia,5643,High,Female,cash,2020
814,I love this place.,1,18,0,Japan,2265,Medium,Female,mobile payment,2022
815,I can say that the desserts were yummy.,1,39,0,Germany,1862,Low,Female,cash,2020
816,The food was terrible.,0,22,1,Brazil,5763,High,Male,credit card,2024
817,The seasonal fruit was fresh white peach puree.,1,47,0,Australia,1225,Low,Male,mobile payment,2024
818,It kept getting worse and worse so now I'm officially done.,0,59,1,Australia,5061,High,Male,mobile payment,2020
819,This place should honestly be blown up.,0,39,1,India,6761,High,Male,mobile payment,2023
820,But I definitely would not eat here again.,0,42,1,USA,2408,Medium,Male,cash,2021
821,Do not waste your money here!,0,29,1,India,2912,Medium,Female,mobile payment,2021
822,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,115,0,Japan,5154,High,Male,credit card,2024
823,The crêpe was delicate and thin and moist.,1,42,0,France,7810,High,Female,credit card,2022
824,Awful service.,0,14,1,Canada,6353,High,Female,mobile payment,2020
825,Won't ever go here again.,0,25,1,Australia,7628,High,Male,mobile payment,2022
826,Food quality has been horrible.,0,31,1,India,5931,High,Female,credit card,2024
827,For that price I can think of a few place I would have much rather gone.,0,72,1,Australia,7423,High,Male,credit card,2024
828,The service here is fair at best.,0,33,1,South Africa,7462,High,Male,mobile payment,2021
829,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,83,1,France,9939,High,Male,cash,2021
830,Do yourself a favor and stay away from this dish.,0,49,1,France,2717,Medium,Female,cash,2022
831,Very poor service.,0,18,1,Germany,4110,Medium,Male,credit card,2024
832,No one at the table thought the food was above average or worth the wait that we had for it.,0,92,1,Brazil,2140,Medium,Female,mobile payment,2024
833,"Best service and food ever, Maria our server was so good and friendly she made our day.",1,87,0,Germany,2125,Medium,Female,credit card,2022
834,They were excellent.,1,20,0,USA,7400,High,Male,credit card,2021
835,I paid the bill but did not tip because I felt the server did a terrible job.,0,77,1,Japan,1534,Low,Male,credit card,2020
836,Just had lunch here and had a great experience.,1,47,0,China,8997,High,Female,cash,2021
837,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,127,1,China,8859,High,Male,mobile payment,2023
838,Food is way overpriced and portions are fucking small.,0,54,1,Germany,2007,Medium,Male,credit card,2020
839,I recently tried Caballero's and I have been back every week since!,1,67,0,France,2234,Medium,Male,mobile payment,2024
840,"for 40 bucks a head, i really expect better food.",0,49,1,France,9321,High,Female,mobile payment,2024
841,The food came out at a good pace.,1,33,0,Brazil,8581,High,Female,credit card,2022
842,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,76,0,Japan,8978,High,Female,mobile payment,2024
843,I won't be back.,0,16,1,France,7040,High,Male,mobile payment,2020
844,We could not believe how dirty the oysters were!,0,48,1,China,1035,Low,Male,cash,2021
845,This place deserves no stars.,0,29,1,China,4987,Medium,Male,mobile payment,2021
846,I would not recommend this place.,0,33,1,Japan,1331,Low,Male,cash,2021
847,"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,74,0,Brazil,4764,Medium,Female,cash,2023
848,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,92,1,South Africa,4475,Medium,Female,credit card,2022
849,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,139,1,Germany,5383,High,Female,credit card,2024
850,the potatoes were great and so was the biscuit.,1,47,0,Japan,4245,Medium,Female,mobile payment,2021
851,I probably would not go here again.,0,35,1,South Africa,5723,High,Female,cash,2024
852,So flavorful and has just the perfect amount of heat.,1,53,0,India,1735,Low,Female,mobile payment,2021
853,The price is reasonable and the service is great.,1,49,0,South Africa,4216,Medium,Male,credit card,2022
854,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,99,1,Japan,5640,High,Female,mobile payment,2020
855,My fella got the huevos rancheros and they didn't look too appealing.,0,69,1,France,7885,High,Female,cash,2022
856,"Went in for happy hour, great list of wines.",1,44,0,Australia,8508,High,Female,cash,2020
857,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,115,0,Germany,7179,High,Male,mobile payment,2021
858,I probably won't be coming back here.,0,37,1,Australia,6021,High,Male,cash,2021
859,Worst food/service I've had in a while.,0,39,1,Germany,3561,Medium,Female,credit card,2020
860,"This place is pretty good, nice little vibe in the restaurant.",1,62,0,China,6445,High,Female,credit card,2024
861,Talk about great customer service of course we will be back.,1,60,0,Canada,5262,High,Female,cash,2023
862,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,147,1,Canada,2748,Medium,Female,mobile payment,2021
863,I love their fries and their beans.,1,35,0,Japan,1911,Low,Female,credit card,2023
